"Source:","C:\Users\Andrew\Desktop\System CD Updates\data\duodyne\01 template.prototyping\template.prototyping.kicad_sch"
"Date:","3/29/2023 11:13:32 AM"
"Tool:","Eeschema (6.0.11)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","194"

"Individual Components:"

"","","J107","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J108","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J109","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J110","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J111","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J112","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J113","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J114","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J115","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J116","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J117","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J118","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J119","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J120","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J121","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J122","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J123","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J124","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J125","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J126","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J127","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J128","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J129","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J130","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J131","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J132","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J133","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J134","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J135","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J136","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J137","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J138","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J139","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J140","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J141","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J142","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J143","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J144","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J145","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J146","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J147","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J148","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J149","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J150","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J151","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J152","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
"","","J153","PTH","template.prototyping-rescue:CONN_01X01-conn","PTHelement:PTHelement",""
